"","ind","All partners","All partners, lower bound","All partners, upper bound","Main partners","Main partners, lower bound","Main partners, upper bound","Casual partners","Casual partners, lower bound","Casual partners, upper bound","One-time partners","One-time partners, lower bound","One-time partners, upper bound","All partners, modeled pop","All partners, modeled pop, lower bound","All partners, modeled pop, upper bound","Main partners, modeled pop","Main partners, modeled pop, lower bound","Main partners, modeled pop, upper bound","Casual partners, modeled pop","Casual partners, modeled pop, lower bound","Casual partners, modeled pop, upper bound","One-time partners, modeled pop","One-time partners, modeled pop, lower bound","One-time partners, modeled pop, upper bound"
"11","Prop same race | WhiteNH",0.613045501535959,0.536505565062694,0.684381551393305,0.609017825278461,0.476016505833247,0.727579964886439,0.635383639822444,0.533319976602395,0.726569914826375,0.574543705406055,0.476411706167987,0.667134051947406,0.572312768946066,0.492071928915464,0.648921498944327,0.569131449807042,0.420833675673042,0.705986151798283,0.576554739773272,0.465713012900405,0.680192284940193,0.558907787400597,0.457975988685103,0.655195175855252
"12","Prop same race | Latinx",0.375647610862098,0.303218525737695,0.454102375717726,0.452247960935115,0.335673984792493,0.574307677630457,0.334715507552524,0.244044666915572,0.43948889303359,0.380255042332404,0.280339271732613,0.49146274214738,0.414034048605708,0.331013362970747,0.502244584241991,0.456441255099525,0.329716006584707,0.589068086637332,0.377082136270837,0.262201689498161,0.507662700923322,0.435635912718769,0.319124302563067,0.559716990340289
"13","Prop same race | OtherNH",0.0861142130002356,0.0169201638684017,0.340317878570371,5.82603302110261e-11,5.69241744690279e-11,5.96278489404267e-11,7.88459500697614e-12,4.42313855179215e-12,1.40549154623873e-11,0.268741389092095,0.0494040189438565,0.722124038245474,0.072401746725118,0.0149609257137931,0.286284748741217,5.82599909076643e-11,5.58678804120406e-11,6.07545250603289e-11,7.88459500697648e-12,3.9181972445931e-12,1.58661839981578e-11,0.289303786425127,0.0530022199288619,0.747519694984042
"14","Prop same age cat",0.507871007151784,0.465291556506893,0.550336573222605,0.622807384920473,0.551637675278663,0.68904810621736,0.493310328434205,0.433806983274735,0.553003799258108,0.465776199685046,0.399922756217598,0.532844580874516,0.685572741471554,0.629047381179737,0.737084812133274,0.718454142038248,0.640599454400472,0.78510133120377,0.67495136513195,0.592525128959195,0.747800845137617,0.683551611274021,0.590282419213763,0.76407482157619
"15","Prop same age cat | 16-20",0.388262016038733,0.318628355683658,0.462777790415142,0.533650197149372,0.407491246034435,0.655647017522043,0.347049956432161,0.25658436043833,0.450100169127759,0.387929413435027,0.288958998137954,0.497099248551807,0.455573105635297,0.373355360503218,0.540285981404816,0.590941029441464,0.445517730483061,0.72202158995854,0.414825935548352,0.307788632699305,0.530556215975323,0.454561838768196,0.326647708855586,0.588768187737721
"16","Prop same age cat | 21-29",0.571110015444708,0.519542081848255,0.621178809873771,0.658528902863163,0.570894684878036,0.736525713444603,0.574989176634647,0.505248152287044,0.641867710907829,0.509314214107,0.422631306303455,0.595440632637083,0.838729707469918,0.788195520948266,0.87905704457121,0.772406181284571,0.676630026511388,0.846260612174358,0.849854012646102,0.771226833175177,0.904793753610505,0.886458590481584,0.779364154948401,0.945223947658456
"17","Prop met in person (any)",0.166006727593086,0.134448542389106,0.203233069695972,0.16397517640044,0.118104569506326,0.22315340809671,0.150337426406908,0.110077376040661,0.201980309004536,0.197193491581932,0.140577478482453,0.269461840424531,0.138434674509321,0.106574708508457,0.177922271789186,0.142123168251548,0.0943819380546413,0.208454756949506,0.132060698041373,0.0890306808454745,0.191515604621523,0.152439889620108,0.0950615117350748,0.23544078782243
"18","Prop met in Bar/Club",0.0882251329423237,0.0686771537177134,0.112664072198437,0.0543205853955976,0.0305608519307776,0.0947471212591074,0.0802780142032301,0.0572647756480396,0.111446368688318,0.122270268672853,0.0812574881247942,0.17992927911978,0.0607311587223435,0.0421719827554014,0.0867184494747112,0.0243658909177092,0.0103196257113102,0.0564405112913553,0.0543428983017192,0.0341925430467769,0.0853192283627419,0.0999427453940682,0.0525137393087347,0.181980862202851
"19","Prop met in Bathhouse",0.0113917017695533,0.0040798784567454,0.031394454640129,2.81208822019528e-12,2.63915388578836e-12,2.99635432429464e-12,0.00484923035876082,0.000688262194051081,0.033326874297996,0.0296190476146843,0.0118181520919958,0.0722713117210992,0.00849643063012854,0.0022066061848519,0.0321376314048569,2.81338286535057e-12,2.62658748134947e-12,3.01346260242644e-12,0.00708964414392466,0.0010031453933498,0.0483192638565736,0.0175627612850495,0.00557087185114951,0.053967545843375
"20","Prop met other in-person",0.0663898928818093,0.0460729513466452,0.0947759330374553,0.109654589845806,0.071998860946275,0.163533904849805,0.0652101815648328,0.0350574697367894,0.118122352452511,0.0453041760054763,0.0258303213724613,0.0782799033752717,0.0692070851704381,0.0463711770860086,0.102084898936562,0.117757277345353,0.0737246019647883,0.182896056503682,0.0706281557343554,0.0371164141441969,0.130302488115867,0.0349343833662743,0.0168278665781515,0.0711140438830738
